"","SurveyAreaIdentifier","DecimalLatitude","DecimalLongitude"
"1",57,47.5522666666667,-122.256666666667
"2",166,48.9069666666667,-122.765783333333
"3",58,47.54885,-122.254166666667
"4",135,47.41355,-122.4365
"5",23,47.67225,-122.406183333333
"6",6,47.40205,-122.334
"7",55,47.1008,-122.727166666667
"8",42,47.3492833333333,-122.5561
"9",150,47.6231333333333,-122.5373
"10",90,47.5396833333333,-122.662083333333
"11",30,47.4427666666667,-122.3563
"12",2,47.3262666666667,-122.3853
"13",98,47.8625166666667,-122.513883333333
"14",168,48.9394666666667,-122.757666666667
"15",97,47.9267666666667,-122.615766666667
"16",174,48.9781666666667,-122.790583333333
"17",130,47.199791,-122.582901
"18",78,47.3261,-122.667516666667
"19",29,47.6673833333333,-122.422716666667
"20",64,48.1415833333333,-123.43095
"21",118,48.0651166666667,-123.040716666667
"22",119,48.0959166666667,-122.920433333333
"23",25,47.7125,-122.379583333333
"24",109,48.1661666666667,-123.706616666667
"25",22,47.6624333333333,-122.433466666667
"26",138,47.3918166666667,-122.433533333333
"27",62,47.9642333333333,-122.240666666667
"28",152,47.5778166666667,-122.524483333333
"29",60,47.1209833333333,-122.7761
"30",73,47.1396333333333,-122.902866666667
"31",107,48.1992166666667,-124.100066666667
"32",39,47.2709,-122.610983333333
"33",24,47.69275,-122.405566666667
"34",19,47.6268,-122.377516666667
"35",44,47.1785333333333,-122.589916666667
"36",154,47.59675,-122.5417
"37",143,47.4056,-122.52185
"38",1,47.3203833333333,-122.41405
"39",145,48.0463471666667,-122.770038833333
"40",3,47.3434166666667,-122.332833333333
"41",36,47.27765,-122.666216666667
"42",18,47.6149166666667,-122.357333333333
"43",84,47.1783,-122.67785
"44",5,47.37275,-122.324883333333
"45",127,48.37315,-122.665216666667
"46",142,47.3330166666667,-122.507133333333
"47",151,47.6162666666667,-122.50695
"48",38,47.2713833333333,-122.61905
"49",179,48.5069833333333,-122.933616666667
"50",134,47.4219666666667,-122.4301
"51",52,47.26005,-122.745016666667
"52",117,48.0974,-123.04685
"53",9,47.4780833333333,-122.363833333333
"54",126,48.3091,-122.714466666667
"55",91,47.1151,-122.964333333333
"56",131,47.1655,-122.80805
"57",99,47.70625,-122.5794
"58",129,47.5223833333333,-122.517966666667
"59",41,47.3267333333333,-122.572783333333
"60",47,47.29475,-122.498966666667
"61",113,48.1554666666667,-123.176733333333
"62",153,47.5883333333333,-122.531516666667
"63",40,47.2670333333333,-122.564033333333
"64",89,47.15405,-122.9645
"65",115,48.14575,-123.1878
"66",106,48.2613333333333,-124.2997
"67",79,48.2245666666667,-122.73115
"68",20,47.63125,-122.395433333333
"69",156,48.488,-122.481783333333
"70",144,47.4975166666667,-122.4779
"71",110,48.1472666666667,-123.569416666667
"72",147,47.7296166666667,-122.550866666667
"73",158,48.482,-122.586266666667
"74",193,47.3256666666667,-122.5765
"75",72,48.2228,-122.6883
"76",105,48.31615,-124.44755
"77",112,48.1419666666667,-123.430983333333
"78",83,47.7166166666667,-122.6244
"79",95,47.9122,-122.526583333333
"80",35,47.2775333333333,-122.66675
"81",45,47.2468666666667,-122.553616666667
"82",173,48.9784666666667,-122.792183333333
"83",54,47.2749666666667,-122.814366666667
"84",50,47.26195,-122.43975
"85",139,47.4065666666667,-122.438783333333
"86",34,47.3101333333333,-122.68735
"87",14,47.57835,-122.414416666667
"88",4,47.3506833333333,-122.3238
"89",137,47.37035,-122.455
"90",21,47.6609666666667,-122.433
"91",11,47.5263333333333,-122.394916666667
"92",167,48.91305,-122.749033333333
"93",7,47.4116,-122.34005
"94",37,47.22865,-122.589766666667
"95",43,47.1687666666667,-122.61305
"96",8,47.4521666666667,-122.379216666667
"97",122,48.1025333333333,-122.690566666667
"98",101,48.4008166666667,-122.664483333333
"99",33,47.3818,-122.634866666667
"100",125,48.2979666666667,-122.725
"101",187,48.4685166666667,-123.003833333333
"102",76,48.1440666666667,-122.753766666667
"103",61,47.9478166666667,-122.3071
"104",161,48.5824666666667,-122.636966666667
"105",104,48.3859,-124.726633333333
"106",194,48.6126166666667,-123.097786666667
"107",120,48.07805,-122.788016666667
"108",162,48.5662166666667,-122.619483333333
"109",160,48.5500333333333,-122.652366666667
"110",165,48.7195016666667,-122.516178333333
"111",159,48.4987833333333,-122.7012
"112",56,47.3057833333333,-122.444266666667
"113",16,47.5898,-122.379966666667
"114",15,47.5954333333333,-122.3876
"115",26,47.7635833333333,-122.385833333333
"116",49,47.27575,-122.4622
"117",13,47.5636833333333,-122.407016666667
"118",63,48.1373166666667,-122.36675
"119",85,47.1447333333333,-122.731733333333
"120",17,47.6056,-122.342166666667
"121",27,47.80325,-122.394666666667
"122",10,47.5152166666667,-122.396433333333
"123",53,47.2244166666667,-122.81095
"124",74,47.1310333333333,-122.9046
"125",183,48.4224666666667,-122.817083333333
"126",32,47.3817333333333,-122.634766666667
"127",94,48.2322,-122.766766666667
"128",148,47.7047166666667,-122.507966666667
"129",12,47.5403,-122.397433333333
"130",75,47.0582166666667,-122.90195
"131",163,48.6398166666667,-122.4809
"132",191,48.5429666666667,-123.161483333333
"133",28,47.8113833333333,-122.3891
"134",108,48.1648833333333,-123.949716666667
"135",124,48.2644333333333,-122.74825
"136",114,48.1554666666667,-123.176733333333
"137",121,48.0949166666667,-122.723683333333
"138",123,48.1557666666667,-122.6744
"139",141,47.3856666666667,-122.478216666667
"140",48,47.2835833333333,-122.481283333333
"141",132,47.5087166666667,-122.46405
"142",136,47.38885,-122.374433333333
"143",133,47.47375,-122.445233333333
"144",140,47.38975,-122.446133333333
"145",155,48.5279,-122.646783333333
"146",149,47.6626666666667,-122.500116666667
"147",189,48.4534833333333,-122.962833333333
"148",175,48.71405,-122.906333333333
"149",77,47.3318166666667,-122.670016666667
"150",157,48.4206333333333,-122.56005
"151",169,48.99115,-122.771283333333
"152",181,48.4467333333333,-122.8997
"153",176,48.6916833333333,-122.905133333333
"154",180,48.4626333333333,-122.942733333333
"155",184,48.4607,-122.82305
"156",177,48.69515,-122.8985
"157",182,48.4293666666667,-122.87715
"158",192,47.0518833333333,-122.99535
"159",188,48.4561,-123.0023
"160",164,48.5787166666667,-122.54185
"161",186,48.52015,-123.00915
"162",178,48.558,-122.890583333333
"163",46,47.3128166666667,-122.528
"164",190,48.5149666666667,-123.151616666667
